Risk Factor,Early Completion Dates,Project Result,Actual duration
0.8,"[0, 10, 16, 14, 15, 20, 26, 27, 26, 35, 39, 39]",Successful,345
1.2,"[0, 11, 18, 19, 14, 24, 31, 29, 32, 41, 48, 46]",Acceptable,411
0.8,"[0, 10, 15, 15, 14, 20, 23, 27, 24, 37, 42, 43]",Successful,375
0.8,"[0, 12, 19, 17, 17, 24, 30, 29, 28, 36, 43, 39]",Successful,363
1.0,"[0, 15, 22, 21, 19, 25, 29, 31, 30, 40, 45, 43]",Acceptable,392
1.2,"[0, 17, 24, 22, 20, 29, 38, 37, 35, 48, 52, 51]",Acceptable,406
1.0,"[0, 14, 19, 20, 19, 23, 29, 32, 30, 40, 44, 44]",Successful,350
1.2,"[0, 12, 16, 17, 16, 22, 25, 31, 29, 41, 46, 45]",Acceptable,401
1.4,"[0, 17, 23, 24, 22, 29, 37, 39, 36, 46, 51, 51]",Acceptable,412
1.2,"[0, 13, 21, 21, 18, 24, 32, 32, 29, 38, 46, 43]",Acceptable,422
1.2,"[0, 11, 18, 17, 15, 22, 29, 32, 28, 43, 49, 47]",Acceptable,394
1.2,"[0, 9, 15, 17, 14, 20, 27, 31, 28, 39, 43, 43]",Acceptable,415
0.8,"[0, 16, 22, 21, 21, 24, 29, 31, 28, 37, 42, 41]",Successful,362
0.8,"[0, 11, 17, 15, 15, 21, 28, 27, 27, 38, 42, 42]",Successful,350
1.0,"[0, 8, 13, 15, 13, 19, 26, 26, 25, 36, 42, 40]",Successful,382
1.2,"[0, 14, 20, 21, 18, 24, 33, 34, 31, 44, 49, 48]",Acceptable,396
1.2,"[0, 17, 24, 21, 22, 27, 31, 36, 33, 45, 51, 50]",Successful,387
1.4,"[0, 10, 18, 17, 15, 23, 31, 30, 31, 36, 44, 40]",Acceptable,415
0.8,"[0, 13, 18, 18, 16, 21, 27, 28, 27, 37, 44, 40]",Successful,354
0.8,"[0, 16, 23, 20, 20, 26, 29, 34, 31, 39, 45, 43]",Successful,376
1.2,"[0, 13, 18, 18, 18, 23, 31, 30, 31, 40, 46, 45]",Acceptable,408
1.0,"[0, 13, 18, 19, 17, 22, 27, 33, 30, 40, 47, 44]",Successful,372
1.0,"[0, 16, 23, 21, 20, 27, 33, 34, 34, 43, 49, 46]",Successful,364
1.0,"[0, 11, 16, 16, 14, 19, 24, 25, 24, 36, 43, 40]",Successful,377
0.8,"[0, 8, 13, 13, 12, 17, 24, 22, 24, 32, 39, 36]",Successful,317
1.2,"[0, 10, 17, 15, 14, 21, 26, 26, 29, 39, 46, 44]",Acceptable,413
1.4,"[0, 15, 23, 23, 20, 28, 35, 36, 32, 47, 56, 52]",Failed,441
0.8,"[0, 9, 14, 15, 12, 19, 26, 26, 23, 32, 36, 36]",Successful,342
1.4,"[0, 17, 22, 25, 21, 30, 36, 41, 37, 47, 53, 52]",Failed,452
1.4,"[0, 13, 17, 21, 19, 26, 34, 37, 30, 44, 52, 48]",Failed,440
1.4,"[0, 14, 20, 22, 16, 26, 34, 37, 33, 44, 53, 49]",Failed,437
1.0,"[0, 11, 16, 17, 16, 22, 28, 30, 27, 38, 43, 42]",Successful,362
1.4,"[0, 17, 22, 24, 22, 30, 34, 38, 39, 47, 55, 52]",Failed,427
